Package Name,Version,Language,License,Package URL,Repo URL,Location
tslib,2.8.0,NodeJS,0BSD,https://www.npmjs.com/package/tslib,https://github.com/Microsoft/tslib,./backend/compact-connect/lambdas/nodejs
@aws-amplify/auth,6.5.1,NodeJS,Apache-2.0,https://www.npmjs.com/package/@aws-amplify/auth,https://github.com/aws-amplify/amplify-js,./owasp-zap/authenticator
@aws-sdk/client-dynamodb,3.682.0,NodeJS,Apache-2.0,https://www.npmjs.com/package/@aws-sdk/client-dynamodb,https://github.com/aws/aws-sdk-js-v3,./backend/compact-connect/lambdas/nodejs
@aws-sdk/client-s3,3.682.0,NodeJS,Apache-2.0,https://www.npmjs.com/package/@aws-sdk/client-s3,https://github.com/aws/aws-sdk-js-v3,./backend/compact-connect/lambdas/nodejs
@aws-sdk/client-ses,3.682.0,NodeJS,Apache-2.0,https://www.npmjs.com/package/@aws-sdk/client-ses,https://github.com/aws/aws-sdk-js-v3,./backend/compact-connect/lambdas/nodejs
@aws-sdk/util-dynamodb,3.682.0,NodeJS,Apache-2.0,https://www.npmjs.com/package/@aws-sdk/util-dynamodb,https://github.com/aws/aws-sdk-js-v3,./backend/compact-connect/lambdas/nodejs
aws-amplify,6.6.4,NodeJS,Apache-2.0,https://www.npmjs.com/package/aws-amplify,https://github.com/aws-amplify/amplify-js,./owasp-zap/authenticator
less,3.0.4,NodeJS,Apache-2.0,https://www.npmjs.com/package/less,https://github.com/less/less.js,./webroot
sharp,0.33.3,NodeJS,Apache-2.0,https://www.npmjs.com/package/sharp,git://github.com/lovell/sharp,./webroot
stylelint-config-rational-order,0.1.2,NodeJS,Apache-2.0,https://www.npmjs.com/package/stylelint-config-rational-order,https://github.com/constverum/stylelint-config-rational-order,./webroot
typescript,4.5.5,NodeJS,Apache-2.0,https://www.npmjs.com/package/typescript,https://github.com/Microsoft/TypeScript,./backend/compact-connect/lambdas/nodejs:./webroot
@typescript-eslint/parser,5.4.0,NodeJS,BSD-2-Clause,https://www.npmjs.com/package/@typescript-eslint/parser,https://github.com/typescript-eslint/typescript-eslint,./backend/compact-connect/lambdas/nodejs:./webroot
dotenv,16.4.5,NodeJS,BSD-2-Clause,https://www.npmjs.com/package/dotenv,git://github.com/motdotla/dotenv,./owasp-zap/authenticator
babel-plugin-istanbul,6.1.1,NodeJS,BSD-3-Clause,https://www.npmjs.com/package/babel-plugin-istanbul,https://github.com/istanbuljs/babel-plugin-istanbul,./webroot
joi,17.13.0,NodeJS,BSD-3-Clause,https://www.npmjs.com/package/joi,git://github.com/hapijs/joi,./webroot
sinon,9.0.2,NodeJS,BSD-3-Clause,https://www.npmjs.com/package/sinon,https://github.com/sinonjs/sinon,./webroot
@istanbuljs/nyc-config-typescript,1.0.2,NodeJS,ISC,https://www.npmjs.com/package/@istanbuljs/nyc-config-typescript,https://github.com/istanbuljs/istanbuljs,./webroot
joi-password,4.2.0,NodeJS,ISC,https://www.npmjs.com/package/joi-password,https://github.com/Heaty566/joi-password,./webroot
nyc,15.1.0,NodeJS,ISC,https://www.npmjs.com/package/nyc,https://github.com/istanbuljs/nyc,./webroot
@babel/core,7.13.10,NodeJS,MIT,https://www.npmjs.com/package/@babel/core,https://github.com/babel/babel,./webroot
@babel/polyfill,7.11.5,NodeJS,MIT,https://www.npmjs.com/package/@babel/polyfill,https://github.com/babel/babel,./webroot
@babel/preset-env,7.13.10,NodeJS,MIT,https://www.npmjs.com/package/@babel/preset-env,https://github.com/babel/babel,./webroot
@intlify/unplugin-vue-i18n,0.6.2,NodeJS,MIT,https://www.npmjs.com/package/@intlify/unplugin-vue-i18n,https://github.com/intlify/bundle-tools,./webroot
@types/aws-lambda,8.10.145,NodeJS,MIT,https://www.npmjs.com/package/@types/aws-lambda,https://github.com/DefinitelyTyped/DefinitelyTyped,./backend/compact-connect/lambdas/nodejs
@types/chai,4.2.11,NodeJS,MIT,https://www.npmjs.com/package/@types/chai,https://github.com/DefinitelyTyped/DefinitelyTyped,./webroot
@types/jest,29.5.12,NodeJS,MIT,https://www.npmjs.com/package/@types/jest,https://github.com/DefinitelyTyped/DefinitelyTyped,./backend/compact-connect/lambdas/nodejs
@types/mocha,5.2.4,NodeJS,MIT,https://www.npmjs.com/package/@types/mocha,https://github.com/DefinitelyTyped/DefinitelyTyped,./webroot
@types/node,22.5.4,NodeJS,MIT,https://www.npmjs.com/package/@types/node,https://github.com/DefinitelyTyped/DefinitelyTyped,./backend/compact-connect/lambdas/nodejs
@types/nodemailer,6.4.14,NodeJS,MIT,https://www.npmjs.com/package/@types/nodemailer,https://github.com/DefinitelyTyped/DefinitelyTyped,./backend/compact-connect/lambdas/nodejs
@types/react,18.3.12,NodeJS,MIT,https://www.npmjs.com/package/@types/react,https://github.com/DefinitelyTyped/DefinitelyTyped,./backend/compact-connect/lambdas/nodejs
@typescript-eslint/eslint-plugin,5.4.0,NodeJS,MIT,https://www.npmjs.com/package/@typescript-eslint/eslint-plugin,https://github.com/typescript-eslint/typescript-eslint,./backend/compact-connect/lambdas/nodejs:./webroot
@usewaypoint/email-builder,0.0.6,NodeJS,MIT,https://www.npmjs.com/package/@usewaypoint/email-builder,https://www.npmjs.com/package/@usewaypoint/email-builder,./backend/compact-connect/lambdas/nodejs
@vue/cli-plugin-babel,5.0.8,NodeJS,MIT,https://www.npmjs.com/package/@vue/cli-plugin-babel,https://github.com/vuejs/vue-cli,./webroot
